customer_id,purchase_year,purchase_month,age,gender,annual_income,purchase_date,purchase_amount,next_month_purchase_amount,gender_Female,gender_Male
1,2023,7,40.0,Female,119228.0,2023-07-20 19:16:58+03:00,725.5400000000001,2023.4,True,False
1,2023,10,40.0,Female,119228.0,2023-10-23 19:16:58+03:00,2023.4,1415.56,True,False
1,2023,11,40.0,Female,119228.0,2023-11-22 19:16:58+03:00,1415.56,1703.75,True,False
1,2023,12,40.0,Female,119228.0,2023-12-23 19:16:58+03:00,1703.75,216.73,True,False
1,2024,2,40.0,Female,119228.0,2024-02-10 19:16:58+03:00,216.73,1102.69,True,False
1,2024,3,40.0,Female,119228.0,2024-03-19 19:16:58+03:00,1102.69,261.08,True,False
2,2023,6,64.0,Male,112085.0,2023-06-09 19:16:58+03:00,1931.33,461.49,False,True
2,2023,8,64.0,Male,112085.0,2023-08-24 19:16:58+03:00,461.49,1274.57,False,True
2,2023,9,64.0,Male,112085.0,2023-09-23 19:16:58+03:00,1274.57,1917.8700000000001,False,True
2,2023,11,64.0,Male,112085.0,2023-11-26 19:16:58+03:00,1917.8700000000001,301.6,False,True
2,2024,1,64.0,Male,112085.0,2024-01-01 19:16:58+03:00,301.6,444.5,False,True
4,2023,6,53.0,Female,98212.0,2023-06-13 19:16:58+03:00,1103.21,71.79,True,False
4,2023,8,53.0,Female,98212.0,2023-08-21 19:16:58+03:00,71.79,909.87,True,False
4,2023,9,53.0,Female,98212.0,2023-09-17 19:16:58+03:00,909.87,896.13,True,False
5,2023,9,36.0,Female,125619.0,2023-09-06 19:16:58+03:00,860.0,463.0,True,False
5,2023,11,36.0,Female,125619.0,2023-11-11 19:16:58+03:00,463.0,1236.37,True,False
5,2024,2,36.0,Female,125619.0,2024-02-13 19:16:58+03:00,1236.37,1133.2,True,False
6,2023,6,34.0,Female,71715.0,2023-06-23 19:16:58+03:00,614.38,724.31,True,False
6,2023,10,34.0,Female,71715.0,2023-10-03 19:16:58+03:00,724.31,873.44,True,False
7,2023,8,28.0,Female,105233.0,2023-08-07 19:16:58+03:00,1150.42,730.13,True,False
7,2023,11,28.0,Female,105233.0,2023-11-24 19:16:58+03:00,730.13,356.62,True,False
